City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
164,Mana,21,GF,1579151585,96,5.66,-53.78,73.18,2.28
165,Jedburgh,73,GB,1579151586,86,55.48,-2.55,45.0,8.05
166,Kodiak,75,US,1579151586,49,57.79,-152.41,24.8,14.99
167,Kalmunai,34,LK,1579151586,79,7.42,81.82,80.06,9.51
168,Rio Gallegos,49,AR,1579151340,65,-51.62,-69.22,44.6,23.04
169,Ancud,75,CL,1579151586,76,-41.87,-73.82,48.2,8.05
170,Lompoc,1,US,1579151352,81,34.64,-120.46,46.4,6.29
171,Lugoba,100,TZ,1579151586,87,-6.45,38.33,78.19,7.92
172,Port Blair,40,IN,1579151587,78,11.67,92.75,82.4,9.17
173,Pochutla,5,MX,1579151587,83,15.74,-96.47,78.8,3.36
174,Srivardhan,0,IN,1579151587,53,18.03,73.02,73.35,6.85
175,Pacific Grove,1,US,1579151535,75,36.62,-121.92,46.4,10.87
176,Ostrovnoy,100,RU,1579151587,77,68.05,39.51,23.14,16.49
177,Lyskovo,100,RU,1579151587,10,56.03,45.04,36.0,15.39
178,Taraz,90,KZ,1579151587,92,42.9,71.37,23.0,6.71
179,Jumla,98,NP,1579151588,93,29.27,82.18,31.71,2.53
180,Saint Anthony,1,US,1579151588,64,45.02,-93.22,1.4,16.11
181,Nema,100,RU,1579151588,98,57.51,50.5,35.28,15.23
182,Porangatu,40,BR,1579151588,92,-13.44,-49.15,72.5,3.0
183,Umm Lajj,28,SA,1579151588,14,25.02,37.27,73.15,0.65
184,Bredasdorp,99,ZA,1579151510,82,-34.53,20.04,75.99,7.0
185,Rincon,1,US,1579151580,88,32.3,-81.24,66.2,3.36
186,Borogontsy,100,RU,1579151588,98,62.67,131.17,-16.73,2.89
187,Kyzyl-Suu,100,KG,1579151589,81,42.34,78.0,21.16,18.68
188,Sao Gabriel da Cachoeira,53,BR,1579151449,98,-0.13,-67.09,71.49,0.4
189,Coahuayana Viejo,100,MX,1579151589,81,18.73,-103.68,71.96,3.06
190,Ghanzi,17,BW,1579151589,52,-21.57,21.78,76.44,10.54
191,Mar del Plata,0,AR,1579151589,81,-38.0,-57.56,55.0,5.82
192,Maceio,40,BR,1579151389,88,-9.67,-35.74,75.2,2.24
193,Sitka,1,US,1579151589,43,57.05,-135.33,15.8,8.05
194,Novoanninskiy,95,RU,1579151590,82,50.53,42.67,30.99,13.0
195,Rawson,32,AR,1579151590,47,-43.3,-65.1,58.59,33.53
196,Saint George,1,US,1579151590,60,37.1,-113.58,44.6,5.79
197,Karratha,99,AU,1579151590,81,-20.74,116.85,85.57,17.11
198,North Bend,90,US,1579151368,93,43.41,-124.22,42.01,6.93
199,Padang,81,ID,1579151590,90,-0.95,100.35,76.55,2.06
200,Avera,75,US,1579151590,95,33.19,-82.53,66.99,5.82
201,Banda Aceh,25,ID,1579151591,53,5.56,95.32,87.64,8.3
202,Kirakira,100,SB,1579151591,80,-10.45,161.92,81.18,7.18
203,Ludhiana,100,IN,1579151591,76,30.9,75.85,59.9,4.61
204,Cabinda,100,AO,1579151591,77,-5.55,12.2,83.82,12.95
205,Teguise,10,ES,1579151591,76,29.06,-13.56,57.2,6.93
206,George Town,20,MY,1579151591,55,5.41,100.34,91.4,4.7
207,Mariental,0,NA,1579151591,39,-24.63,17.97,80.6,2.24
208,Puerto Ayora,12,EC,1579151592,70,-0.74,-90.35,75.99,1.01
209,Preobrazheniye,29,RU,1579151592,44,42.9,133.91,23.47,1.74
210,Eureka,90,US,1579151526,66,40.8,-124.16,50.0,19.46
211,Vrede,7,ZA,1579151592,53,-27.43,29.17,67.59,4.07
212,Samarai,1,PG,1579151592,65,-10.62,150.67,85.59,10.83
213,Henties Bay,99,NA,1579151592,94,-22.12,14.28,64.0,4.0
214,Santa Isabel do Rio Negro,54,BR,1579151592,98,-0.41,-65.02,72.75,1.9
215,Port Elizabeth,75,ZA,1579151592,94,-33.92,25.57,71.6,5.82
